strategy,%params,final_val_acc,final_train_acc
linear_probe,0.44,0.8550857843137255,0.9099904499151104
selective_20,19.73,0.9249387254901961,0.9973118279569892
last_block,31.34,0.9295343137254902,0.9981312488209771
full_ft,100.0,0.9448529411764706,0.991263440860215
