strategy,%params,final_val_acc,final_train_acc
linear_probe,0.26,0.7622549019607844,0.8102362761743067
selective_20,19.21,0.8970588235294118,0.9663153178645538
last_block,63.75,0.9267769607843137,0.9979838709677419
full_ft,100.0,0.9488357843137254,0.9976478494623656
