strategy,%params,final_val_acc,final_train_acc
linear_probe,0.95,0.7306985294117647,0.7944638983210714
last_block,18.68,0.904718137254902,0.997963238068289
selective_20,20.26,0.9037990196078431,0.9984879032258065
full_ft,100.0,0.9414828431372548,0.9991599462365591
